order_id,ecom_customer_id,order_date,order_total,order_status
ORD-100001,EC-00001,2026-03-15T00:00:00Z,189.0,Completed
ORD-100002,EC-00001,2025-11-22T00:00:00Z,219.0,Completed
ORD-100003,EC-00002,2026-05-10T00:00:00Z,349.0,Completed
ORD-100004,EC-00003,2026-01-08T00:00:00Z,299.0,Completed
ORD-100005,EC-00004,2026-04-20T00:00:00Z,189.0,Completed
ORD-100006,EC-00005,2026-06-05T00:00:00Z,349.0,Completed
ORD-100007,EC-00006,2026-07-01T00:00:00Z,349.0,Completed
ORD-100008,EC-00006,2026-05-15T00:00:00Z,299.0,Completed
ORD-100009,EC-00006,2026-03-22T00:00:00Z,189.0,Completed
ORD-100010,EC-00006,2026-01-30T00:00:00Z,219.0,Completed
ORD-100011,EC-00007,2026-02-14T00:00:00Z,219.0,Completed
ORD-100012,EC-00009,2026-06-18T00:00:00Z,299.0,Completed
ORD-100013,EC-00009,2026-04-02T00:00:00Z,349.0,Completed
ORD-100014,EC-00001,2025-12-16T00:00:00Z,189.0,Completed
ORD-100015,EC-00001,2024-09-23T00:00:00Z,219.0,Returned
ORD-100016,EC-00002,2025-09-14T00:00:00Z,299.0,Completed
ORD-100017,EC-00002,2025-07-29T00:00:00Z,508.0,Completed
ORD-100018,EC-00002,2024-12-24T00:00:00Z,727.0,Completed
ORD-100019,EC-00003,2025-10-21T00:00:00Z,458.0,Completed
ORD-100020,EC-00003,2025-10-15T00:00:00Z,159.0,Completed
ORD-100021,EC-00004,2025-11-17T00:00:00Z,737.0,Completed
ORD-100022,EC-00004,2026-06-09T00:00:00Z,219.0,Completed
ORD-100023,EC-00004,2024-08-27T00:00:00Z,349.0,Completed
ORD-100024,EC-00004,2026-06-23T00:00:00Z,597.0,Completed
ORD-100025,EC-00004,2026-07-28T00:00:00Z,1016.0,Completed
ORD-100026,EC-00005,2025-07-20T00:00:00Z,189.0,Completed
ORD-100027,EC-00005,2025-06-10T00:00:00Z,219.0,Completed
ORD-100028,EC-00006,2025-07-19T00:00:00Z,349.0,Completed
ORD-100029,EC-00006,2024-09-05T00:00:00Z,189.0,Returned
ORD-100030,EC-00006,2026-03-29T00:00:00Z,318.0,Completed
ORD-100031,EC-00006,2026-01-13T00:00:00Z,817.0,Completed
ORD-100032,EC-00007,2025-03-14T00:00:00Z,219.0,Completed
ORD-100033,EC-00008,2025-03-05T00:00:00Z,488.0,Completed
ORD-100034,EC-00008,2025-03-14T00:00:00Z,458.0,Completed
ORD-100035,EC-00008,2025-11-02T00:00:00Z,219.0,Returned
ORD-100036,EC-00009,2026-07-26T00:00:00Z,219.0,Completed
ORD-100037,EC-00010,2026-03-12T00:00:00Z,698.0,Completed
ORD-100038,EC-00011,2026-04-18T00:00:00Z,857.0,Completed
ORD-100039,EC-00012,2026-01-16T00:00:00Z,378.0,Completed
ORD-100040,EC-00012,2025-09-15T00:00:00Z,597.0,Cancelled
