order_id,ecom_customer_id,order_date,order_total,order_status
ORD-N00001,EC-N00001,2026-07-05T00:00:00Z,349.0,Completed
ORD-N00002,EC-N00002,2026-07-12T00:00:00Z,349.0,Completed
ORD-N00003,EC-N00003,2026-07-16T00:00:00Z,349.0,Completed
ORD-N00004,EC-N00004,2026-07-10T00:00:00Z,159.0,Completed
ORD-N00005,EC-N00005,2026-07-20T00:00:00Z,349.0,Completed
ORD-N00006,EC-N00006,2026-07-22T00:00:00Z,349.0,Completed
ORD-N00007,EC-N00007,2026-07-03T00:00:00Z,159.0,Completed
ORD-N00008,EC-N00008,2026-07-12T00:00:00Z,349.0,Completed
ORD-N00009,EC-N00009,2026-07-22T00:00:00Z,349.0,Completed
ORD-N00010,EC-N00010,2026-07-21T00:00:00Z,219.0,Completed
ORD-N00011,EC-N00011,2026-07-14T00:00:00Z,299.0,Completed
ORD-N00012,EC-N00012,2026-07-07T00:00:00Z,219.0,Completed
ORD-N00013,EC-N00013,2026-07-31T00:00:00Z,349.0,Completed
ORD-N00014,EC-N00014,2026-07-29T00:00:00Z,349.0,Completed
ORD-N00015,EC-N00015,2026-07-17T00:00:00Z,219.0,Completed
ORD-N00016,EC-N00016,2026-07-11T00:00:00Z,349.0,Completed
ORD-N00017,EC-N00017,2026-07-10T00:00:00Z,299.0,Completed
ORD-N00018,EC-N00018,2026-07-01T00:00:00Z,299.0,Completed
ORD-N00019,EC-N00019,2026-07-18T00:00:00Z,349.0,Completed
ORD-N00020,EC-N00020,2026-07-12T00:00:00Z,219.0,Completed
ORD-N00021,EC-N00021,2026-07-23T00:00:00Z,219.0,Completed
ORD-N00022,EC-N00022,2026-07-26T00:00:00Z,299.0,Completed
ORD-N00023,EC-N00023,2026-07-04T00:00:00Z,349.0,Completed
ORD-N00024,EC-N00024,2026-07-10T00:00:00Z,349.0,Completed
ORD-N00025,EC-N00025,2026-07-19T00:00:00Z,349.0,Completed
ORD-N00026,EC-N00026,2026-07-09T00:00:00Z,299.0,Completed
ORD-N00027,EC-N00027,2026-07-15T00:00:00Z,189.0,Completed
ORD-N00028,EC-N00028,2026-07-17T00:00:00Z,349.0,Completed
ORD-N00029,EC-N00029,2026-07-29T00:00:00Z,219.0,Completed
ORD-N00030,EC-N00030,2026-07-09T00:00:00Z,159.0,Completed
ORD-N00031,EC-N00031,2026-07-04T00:00:00Z,219.0,Completed
ORD-N00032,EC-N00032,2026-07-11T00:00:00Z,159.0,Completed
ORD-N00033,EC-N00033,2026-07-29T00:00:00Z,219.0,Completed
ORD-N00034,EC-N00034,2026-07-07T00:00:00Z,189.0,Completed
ORD-N00035,EC-N00035,2026-07-24T00:00:00Z,189.0,Completed
ORD-N00036,EC-N00036,2026-07-08T00:00:00Z,189.0,Completed
ORD-N00037,EC-N00037,2026-07-08T00:00:00Z,159.0,Completed
ORD-N00038,EC-N00038,2026-07-10T00:00:00Z,159.0,Completed
ORD-N00039,EC-N00039,2026-07-14T00:00:00Z,219.0,Completed
ORD-N00040,EC-N00040,2026-07-13T00:00:00Z,189.0,Completed
ORD-N00041,EC-N00041,2026-07-12T00:00:00Z,349.0,Completed
ORD-N00042,EC-N00042,2026-07-24T00:00:00Z,219.0,Completed
ORD-N00043,EC-N00043,2026-07-20T00:00:00Z,299.0,Completed
ORD-N00044,EC-N00044,2026-07-09T00:00:00Z,159.0,Completed
ORD-N00045,EC-N00045,2026-07-07T00:00:00Z,299.0,Completed
ORD-N00046,EC-N00046,2026-07-19T00:00:00Z,189.0,Completed
ORD-N00047,EC-N00047,2026-07-22T00:00:00Z,159.0,Completed
ORD-N00048,EC-N00048,2026-07-12T00:00:00Z,299.0,Completed
ORD-N00049,EC-N00049,2026-07-23T00:00:00Z,349.0,Completed
ORD-N00050,EC-N00050,2026-07-24T00:00:00Z,189.0,Completed
ORD-N00051,EC-N00051,2026-07-06T00:00:00Z,299.0,Completed
ORD-N00052,EC-N00052,2026-07-08T00:00:00Z,159.0,Completed
ORD-N00053,EC-N00053,2026-07-02T00:00:00Z,189.0,Completed
ORD-N00054,EC-N00054,2026-07-10T00:00:00Z,299.0,Completed
ORD-N00055,EC-N00055,2026-07-05T00:00:00Z,219.0,Completed
ORD-N00056,EC-N00056,2026-07-18T00:00:00Z,299.0,Completed
ORD-N00057,EC-N00057,2026-07-15T00:00:00Z,299.0,Completed
